"date","code","rate","bid","ask"
"2015-04-28T01:43:00.000Z","EURUSD",1.088,1.0878,1.0882
"2015-04-28T01:43:00.000Z","GBPUSD",1.5229,1.5228,1.5229
"2015-04-28T01:44:00.000Z","GBPUSD",1.5229,1.5229,1.523
"2015-04-28T01:44:00.000Z","EURUSD",1.088,1.088,1.0881
"2015-05-05T00:31:00.000Z","EURUSD",1.1145,1.1144,1.1145
"2015-05-05T00:31:00.000Z","EURUSD",1.1145,1.1144,1.1145
"2015-05-05T00:31:00.000Z","GBPUSD",1.5121,1.512,1.5121
"2015-05-05T01:12:00.000Z","EURUSD",1.1148,1.1147,1.1148
"2015-05-05T01:12:00.000Z","EURUSD",1.1148,1.1147,1.1148
"2015-05-05T01:12:00.000Z","GBPUSD",1.5123,1.5122,1.5123
"2015-05-05T01:13:00.000Z","EURUSD",1.1147,1.1146,1.1148
"2015-05-05T01:13:00.000Z","EURUSD",1.1147,1.1146,1.1148
"2015-05-05T01:13:00.000Z","GBPUSD",1.5122,1.5121,1.5124
"2015-05-05T01:14:00.000Z","GBPUSD",1.5122,1.512,1.5124
"2015-05-05T01:16:00.000Z","EURUSD",1.115,1.1148,1.1152
"2015-05-05T01:16:00.000Z","EURUSD",1.115,1.1148,1.1152
"2015-05-05T01:16:00.000Z","GBPUSD",1.5126,1.5125,1.5127
"2015-05-05T01:17:00.000Z","EURUSD",1.1149,1.1148,1.115
"2015-05-05T01:17:00.000Z","EURUSD",1.1149,1.1148,1.115
"2015-05-05T01:17:00.000Z","GBPUSD",1.5126,1.5124,1.5128
"2015-05-05T01:18:00.000Z","EURUSD",1.1151,1.115,1.1152
"2015-05-05T01:18:00.000Z","GBPUSD",1.5128,1.5125,1.513
"2015-05-05T01:19:00.000Z","EURUSD",1.1149,1.1149,1.115
"2015-05-05T01:19:00.000Z","EURUSD",1.1149,1.1149,1.115
"2015-05-05T01:19:00.000Z","GBPUSD",1.5125,1.5123,1.5128
"2015-05-05T01:20:00.000Z","EURUSD",1.115,1.1149,1.115
"2015-05-05T01:20:00.000Z","EURUSD",1.115,1.1149,1.115
"2015-05-05T01:20:00.000Z","GBPUSD",1.5125,1.5124,1.5126
"2015-05-05T01:21:00.000Z","EURUSD",1.1149,1.1148,1.1149
"2015-05-05T01:21:00.000Z","EURUSD",1.1149,1.1148,1.1149
"2015-05-05T01:22:00.000Z","EURUSD",1.1149,1.1148,1.1149
"2015-05-05T01:22:00.000Z","EURUSD",1.1149,1.1148,1.1149
"2015-05-05T01:22:00.000Z","GBPUSD",1.5126,1.5124,1.5128
"2015-05-05T01:23:00.000Z","EURUSD",1.115,1.1148,1.1152
"2015-05-05T01:23:00.000Z","EURUSD",1.115,1.1148,1.1152
"2015-05-05T01:23:00.000Z","GBPUSD",1.5125,1.5123,1.5128
